sample_id	subject_id	shannon_diversity	species_richness	total_reads_MIDAS	total_reads_orig	total_avg_marker_coverage	total_med_marker_coverage
SRR9224532	am	2.2258346212	71	11834	5217404	117.151054528	165.231817704
SRR9224501	am	2.37492180796	59	4460	1882883	45.0377841637	57.578054495
SRR9224061	am	3.04801732812	100	17922	8169147	173.061020893	262.482342003
SRR9224062	am	2.71283796178	86	14264	6280019	135.76306587	199.889781796
SRR9224108	am	2.39261135414	80	14768	6218013	150.529108319	213.340168183
SRR9224064	am	2.67109585502	75	12305	5170589	119.333139279	177.767135596
SRR9224103	am	2.2956145056	68	8658	3479283	87.6422311993	125.128767732
SRR9224102	am	2.13895129359	84	21102	9138290	209.540859728	303.596417834
SRR9224101	am	2.26530546877	84	23337	9902841	232.390573578	328.215152169
SRR9224100	am	2.66014427039	94	15999	6913324	158.638908733	230.809151809
SRR9224107	am	2.27563797531	69	11781	4926967	121.076079639	165.482058204
SRR9224106	am	2.51192634152	86	23159	10080909	231.197705495	338.872421579
SRR9224105	am	2.65367932236	76	17180	6889005	172.496691875	249.215251868
SRR9224104	am	2.46238415195	76	17286	7205075	171.104742511	247.483941015
SRR9224260	am	2.23750656519	88	16051	7153717	156.919490851	228.760311706
SRR9224261	am	2.61248304835	87	11860	4353623	114.480780095	158.118776957
SRR9224266	am	2.24672480351	76	19481	8125740	197.226760347	279.192389448
SRR9224267	am	2.36194819102	87	19726	8392427	197.690456346	276.142446119
SRR9224264	am	2.11727785888	81	23415	8508534	226.485493723	339.800244311
SRR9224265	am	2.29241355696	81	18562	7715020	185.898435701	261.951973757
SRR9224268	am	2.23784692135	83	18689	8068685	190.060726227	265.567222715
SRR9224269	am	2.49402108889	92	17380	7760722	174.25492505	249.123145579
SRR9224500	am	2.30536600922	77	23487	9983015	235.943560675	346.583158285
SRR9224082	am	2.37408217782	91	11609	4908536	112.223421646	168.413228012
SRR9224083	am	2.63913419482	98	29780	13099945	286.691208284	445.8589831
SRR9224081	am	2.4946777682	104	11198	4900575	103.312227921	154.171463537
SRR9224086	am	2.41066072001	83	19585	8301174	182.330649556	290.054361827
SRR9224084	am	2.51251614969	82	12775	5810606	124.273382063	182.565785627
SRR9224085	am	2.67960504001	84	10914	4889637	100.080369642	154.051676402
SRR9224316	am	2.50018596051	106	19066	8477575	170.498710055	288.079573694
SRR9224078	am	2.31562027648	81	10371	4452293	100.893233673	146.759072575
SRR9224077	am	2.41982832774	79	9684	4261867	91.7935655529	140.179955502
SRR9224369	am	2.19615357314	93	20843	8128719	197.951597078	293.098970367
