run_accession,read_count
SRR9224418,8522040
SRR9224419,5836756
SRR9224420,1699284
SRR9224421,7676535
SRR9224422,4630547
SRR9224423,6496445
SRR9224424,5524814
SRR9224425,5257928
SRR9224426,5997513
SRR9224427,11007675
SRR9224428,4942934
SRR9224429,5100831
SRR9224430,6915502
SRR9224431,9995295
SRR9224432,9235676
SRR9224436,8551542
SRR9224440,8633415
SRR9224441,11267134
SRR9224444,8230129
SRR9224445,10826730
SRR9224446,8221748
SRR9224447,9023721
SRR9224448,8194503
SRR9224449,5096312
SRR9224450,4505220
SRR9224451,7398634
SRR9224452,7165971
SRR9224453,5439666
SRR9224454,8218747
SRR9224455,9295809
SRR9224456,7917199
SRR9224457,8110073
SRR9224462,7680890
SRR9224470,6871376
SRR9224471,11296691
SRR9224472,7395443
SRR9224473,6223603
SRR9224474,9136624
SRR9224475,9509110
SRR9224476,5648319
SRR9224477,5757395
SRR9224478,4757550
SRR9224479,14361698
SRR9224480,8569517
SRR9224481,8648784
SRR9224482,7682445
SRR9224483,10604127
SRR9224484,14160384
SRR9224485,13026992
SRR9224486,8625851
SRR9224487,9927138
SRR9224488,10337358
SRR9224489,9403969
SRR9224490,6459038
SRR9224491,5507764
SRR9224493,7750090
SRR9224494,8512898
SRR9224495,9791785
SRR9224496,7972802
SRR9224497,9054879
SRR9224498,11052707
SRR9224499,12999347
SRR9224500,9983015
SRR9224501,1882883
SRR9224502,6390409
SRR9224503,10342849
SRR9224504,11448176
SRR9224505,5970903
SRR9224506,7434981
SRR9224507,8833177
SRR9224508,3384404
SRR9224509,5733463
SRR9224510,7207436
SRR9224511,4453434
SRR9224512,6383280
SRR9224513,6317945
SRR9224514,5527937
SRR9224515,2899771
SRR9224516,1584580
SRR9224517,7322001
SRR9224518,10480866
SRR9224519,7086750
SRR9224520,9569446
SRR9224521,5233109
SRR9224522,5659861
SRR9224523,4121877
SRR9224524,7671662
SRR9224525,9020961
SRR9224526,7256105
SRR9224527,9495050
SRR9224528,5150778
SRR9224529,10190219
SRR9224530,4772155
SRR9224531,3477248
SRR9224532,5217404
SRR9224533,7530570
SRR9224534,10287844
SRR9224535,4290466
SRR9224536,4998526
SRR9224537,5833648
SRR9224538,6345953
SRR9224539,6520287
SRR9224540,8181126
SRR9224541,8571661
SRR9224542,9270404
SRR9224560,6595585
SRR9224561,5432554
SRR9224562,6639974
SRR9224563,5973931
SRR9224564,6072783
SRR9224565,6363245
SRR9224566,6618581
