sample_id	subject_id	shannon_diversity	species_richness	total_reads_MIDAS	total_reads_orig
700037539	764083206	3.06951494213	113	23693	20000000
700037632	763496533	3.2028975026	100	25536	20000000
700037649	765398164	2.07404760482	92	31476	20000000
700037738	765034022	1.82834502052	82	27923	20000000
700037757	765377934	2.5078267329	85	13159	20000000
700037852	765337473	2.4122760277	91	25811	20000000
700037868	765560005	2.57320666699	105	28957	20000000
700037916	765519544	3.28625749025	120	22446	20000000
700037967	765317243	2.3565826989	96	23756	20000000
700038053	763597684	3.14258123681	113	24325	20000000
700038072	765620695	2.72898177257	100	30811	20000000
700038158	763678604	2.98257688948	99	23676	20000000
700038167	765539774	2.30259740339	99	30428	20000000
700038263	764669880	2.54309908209	74	26478	20000000
700038284	765661155	2.82123153717	119	22112	20000000
700038386	764892411	2.6217479526	111	26802	20000000
700095213	160643649	2.64064040802	91	33977	20000000
700095486	160400887	3.15860859056	123	23940	20000000
700095524	160663879	2.7263067201	93	18366	11635766
700095647	160704339	3.16133469098	131	25062	20000000
700095717	160684109	2.64547992922	93	29373	20000000
700095831	160845950	2.04505524653	53	15364	10294240
700096047	160947100	1.90884004136	84	30517	20000000
700096380	160765029	2.57294632686	127	20416	20000000
700096700	161007791	1.56835897679	73	22621	20000000
700096865	161230322	2.28045130369	86	32961	20000000
700097196	158479027	2.64315914362	81	34302	20000000
700097688	158256496	2.99760659624	124	26295	20000000
700097837	158337416	2.92235327957	96	27966	20000000
700097906	638754422	2.49122879625	100	27755	20000000
700098429	809635352	3.03362141774	101	25397	20000000
700098561	158499257	2.55506209171	111	26212	20000000
700098669	370425937	2.09674559325	95	22977	20000000
700099512	246515023	1.76441637522	63	24461	20000000
700099803	158802708	2.88327608331	121	28621	20000000
700099886	159005010	2.58643960047	80	30804	20000000
700100022	158721788	3.38678167838	133	32127	20000000
700100227	158883629	1.6240017574	48	26522	20000000
700100312	159268001	2.6280154246	88	18186	20000000
700100432	159369152	1.87406122138	61	28617	20000000
700100471	159247771	2.3070948639	69	27827	20000000
700100540	159510762	2.3918286047	77	26221	20000000
700100600	159207311	2.85946326706	115	26542	20000000
700101243	158944319	2.35990149167	105	31066	20000000
700101366	159551223	2.81943013403	97	31759	20000000
700101534	159713063	2.07957541927	68	28117	20000000
700101581	159571453	3.00231419516	93	20779	20000000
700101638	159389382	2.95339256732	117	32925	20000000
700101840	159591683	1.82447387477	63	29907	20000000
700101916	159611913	2.55954951025	83	29399	20000000
700102043	368533040	1.92055872206	92	29819	20000000
700106646	763982056	2.35920111467	130	28259	20000000
700106876	764811490	2.21292375175	90	32946	20000000
700109231	638754422	2.46663733969	89	28513	20000000
700105771	764447348	2.07757293253	133	25505	20000000
700103477	763860675	3.24912046522	140	23816	20000000
700106325	550534656	2.50833563883	84	24772	20000000
700108218	160704339	2.79989601258	108	27020	20000000
700106836	764143897	2.90189005148	92	31957	20000000
700103710	763759525	2.718957585	90	29724	20000000
700102659	840279516	1.581731337	96	33171	20000000
700107059	159814214	2.11824391598	96	29973	20000000
700105049	178713055	3.21832886972	171	23716	20000000
700106412	517810313	2.57422236134	134	32487	20000000
700106694	764224817	1.64298931495	108	37042	20000000
700103558	863126187	2.33630375799	132	33146	20000000
700108840	160603188	2.89564032266	115	25519	20000000
700102299	604812005	2.72583254907	109	34262	20000000
700105940	658594300	2.19999763861	127	30293	20000000
700038546	763880905	2.50807752075	108	26552	20000000
700107398	159753524	2.74546203573	125	29131	20000000
700110419	604812005	2.75140174904	103	31063	20000000
700038594	404239096	2.60087833953	74	27447	20000000
700108161	160421117	2.20881658179	103	33690	20000000
700105613	953045535	3.09152863394	123	31559	20000000
700109564	160178356	2.91403562906	98	31072	20000000
700105312	516889361	2.43019428361	96	26515	20000000
700110089	160643649	3.00068867443	125	30597	20000000
700105787	375450439	3.30051424657	199	14792	20000000
700106504	553359145	1.92710260917	77	24810	20000000
700038493	763476303	2.86203756002	118	26157	20000000
700105000	275382046	1.25682604835	75	8513	6498170
700105580	765074482	2.86324517929	126	30183	20000000
700105237	763820215	1.42110495227	91	32628	20000000
700105991	465578759	3.10267411779	152	30435	20000000
700105685	763456073	2.75063861511	111	25325	20000000
700038870	861967750	2.83161386745	109	27161	20000000
700102586	159227541	2.91814063231	93	28967	20000000
700106056	764184357	2.60466754526	84	25734	20000000
700102905	159146620	2.49145507102	68	27051	20000000
700108095	160502038	2.85131175184	148	31149	20000000
700105153	612472597	2.81111952466	116	27660	20000000
700106198	823052294	1.46566144686	115	30925	20000000
700038702	763698834	3.1116453924	132	26192	20000000
700102242	159166850	2.34191642769	171	35005	20000000
700107189	686765762	1.71450331185	67	29531	20000000
700038414	765701615	3.20594435194	88	11972	20000000
700109621	160319967	2.57649319577	113	30179	20000000
700038472	763536994	3.04947665296	142	31604	20000000
700108341	159470302	2.49802460614	73	17193	9681088
700038806	765640925	2.66721911677	106	19432	20000000
700108896	160218816	2.57916038918	63	13590	9529204
700105882	668248235	3.02493787627	132	32307	20000000
700106946	147406386	3.00045465162	213	11663	7975718
700105517	765155402	2.94429689146	154	26324	20000000
700105372	764487809	2.7312179442	112	24755	20000000
700103479	132902142	2.73069489738	195	27107	20000000
700102356	159490532	2.51821196196	82	26081	20000000
700107930	160056975	2.40317074567	73	27109	20000000
700109506	160845950	1.42498113156	57	16181	10434040
700106170	706846339	3.14716235931	118	26476	20000000
700110222	161473083	2.51698419047	83	13540	9491950
700038761	508703490	2.67682892007	80	24246	20000000
700109987	161412393	3.52430670045	113	10119	20000000
700106229	675950834	2.72549655371	125	32637	20000000
700107873	160380657	1.80329352358	92	27508	20000000
700103652	765094712	2.58914572919	111	26887	20000000
700108530	160582958	2.66118346884	101	29992	20000000
700107489	159632143	2.72919446479	67	15605	10815954
700109449	161554003	2.87515208683	125	19648	20000000
700106465	338793263	1.7508351277	75	22193	20000000
700106754	857980665	2.99248704418	121	28991	20000000
700106065	737052003	2.21839008201	125	28461	20000000
700038956	370027359	2.83143306148	123	21021	20000000
700107566	160097436	1.52794536074	94	28349	20000000
700106333	289996019	1.25289175128	121	33301	20000000
700105306	764325968	2.77597386532	90	26079	20000000
700038918	355657046	1.69682733985	8	42	70628
700109383	370425937	2.15180088728	84	18685	20000000
700109921	159085930	2.90546453479	77	15803	11000718
700110155	246515023	1.83746119765	53	21857	20000000
700102848	159288231	2.43721777009	77	11459	8972814
700102432	160158126	2.79058160738	111	34504	20000000
700113616	763536994	2.47629285409	69	13626	20000000
700113114	764467579	3.00062415442	156	29557	20000000
700110354	650853796	2.75525707898	103	27621	20000000
700111223	866653606	1.67568160168	84	37082	20000000
700110812	809635352	3.01140486694	104	21987	20000000
700114162	289996019	1.30512823837	96	31650	20000000
700111439	451588811	2.72507507221	89	28041	20000000
700114000	763395383	2.64975418976	106	31614	20000000
700111296	763721271	2.68869170418	163	25628	20000000
700111986	159510762	2.87191755775	77	15246	10835698
700111745	872848689	2.20327863178	75	13978	11566882
700114653	763901136	2.71546705902	90	22209	20000000
700114911	561079058	1.70537591986	85	21957	20000000
700114125	763840445	3.09394935389	111	26176	20000000
700114480	764042746	2.26068352335	73	24940	20000000
700111026	686765762	2.12149337596	75	33803	20000000
700113177	809362576	2.68936644791	123	27524	20000000
700111505	336497421	0.85794167921	85	35443	20000000
700111156	257905678	2.92597106431	108	28070	20000000
700114218	663835652	3.07466925362	130	29960	20000000
700114082	764062976	2.67242865298	88	22969	20000000
700101134	159733294	3.08851005031	93	9444	8327736
700112046	160421117	2.13136061856	105	33390	20000000
700112376	160380657	1.9375978812	86	30060	20000000
700112433	159146620	2.58232760755	67	30044	20000000
700112490	160178356	2.88463625928	107	27371	20000000
700112755	160603188	2.76309442382	116	28629	20000000
700112812	158883629	1.8710729134	59	22907	20000000
700113705	234447334	1.94536442089	115	28842	20000000
700113762	367712035	3.37904907243	141	23404	20000000
700113810	763921366	2.83868277071	109	29811	20000000
700113867	488228756	3.02064080482	130	34749	20000000
700113954	763456073	2.99717169156	162	7062	6627696
700113975	884419868	2.87891063284	123	27342	20000000
700116028	991168867	2.7009358681	142	31975	20000000
700116076	765195863	3.00000181072	124	25872	20000000
700116148	993302508	1.53872600133	113	34371	20000000
700116201	764588959	2.47815192132	112	21736	20000000
700116248	668248235	2.95263846152	148	29359	20000000
700116296	764791260	2.67011212213	101	23931	20000000
700116358	763982056	2.25916821095	103	31601	20000000
700116401	980939909	2.84522558936	116	27399	20000000
700116468	375450439	2.38943894303	84	30439	20000000
700116505	268204421	2.86111189721	136	30791	20000000
700116568	763395383	2.91085847832	117	30029	20000000
700116611	763820215	2.06188333853	131	32010	20000000
700116668	722859603	3.20952078586	151	13189	20000000
700116730	868454789	2.86200730122	137	30543	20000000
700116778	764285508	2.72038684734	124	35816	20000000
700116828	764508039	2.13447624194	80	29856	20000000
700116865	872298013	2.59538887048	130	32082	20000000
700116917	360880230	1.40955110179	133	34536	20000000
700119042	159753524	2.46999555431	93	28469	20000000
700119165	158802708	2.9762362486	125	28272	20000000
700119307	159288231	1.43339381197	63	16403	9536878
700119496	159227541	2.14972035502	99	23994	20000000
700119562	158944319	2.92958622438	130	27850	20000000
700119739	159207311	2.43115829487	127	28949	20000000
700119987	160319967	2.48498001492	115	29473	20000000
700117000	764366428	2.71960846584	89	28057	20000000
700117031	305070461	3.15336537012	147	31439	20000000
700117069	884797910	2.49483398024	147	34242	20000000
700117172	525622796	2.84312331509	108	24507	20000000
700117184	612472597	2.97853114516	130	24288	20000000
700117625	550534656	2.55859531103	104	23456	20000000
700117682	763921366	2.93709040258	112	23789	20000000
700117755	764467579	3.11832071886	119	24741	20000000
700117766	731256356	3.02625770093	126	29687	20000000
700117828	765094712	3.07469729635	142	31445	20000000
700117938	763557224	1.82293463572	71	27155	20000000
700117992	765135172	2.56372407183	97	22435	20000000
700120753	686765762	2.11382829509	102	35999	20000000
700121639	160259276	2.95855678565	89	15706	10131382
700122000	160056975	2.18611215581	58	12619	9181436
700122108	604812005	3.03874494574	140	34292	20000000
700122165	638754422	2.68818327315	111	31406	20000000
700161532	675950834	2.090375306	80	31799	20000000
700161581	765216093	1.35113692537	133	38841	20000000
700161629	765539774	2.47129207273	120	34265	20000000
700013588	158155345	3.22499381549	109	23065	20000000
700013597	158013734	2.79565383802	115	25660	20000000
700013600	158033964	2.90691897418	116	27112	20000000
700013603	158114885	2.57325866152	91	33278	20000000
700013672	158276726	3.00270464654	139	31167	20000000
700013693	158296956	2.73897715663	124	24836	20000000
700014386	158398106	2.91069965268	129	28099	20000000
700014486	158438567	2.2356265397	93	27195	20000000
700014498	158418336	3.30141229765	126	30164	20000000
700016000	158964549	2.35603231071	74	32192	20000000
700016902	159389382	2.49470621473	98	33450	20000000
700033436	159470302	2.44491198196	103	35647	20000000
700033726	159713063	2.41597348809	87	26469	20000000
700034565	158033964	3.26531580034	106	29477	20000000
700095058	157953044	2.69676435784	101	37111	20000000
700095287	158296956	2.81089897572	125	26107	20000000
700095353	158398106	2.92836542798	93	25623	20000000
700095410	158418336	2.93324028084	96	27702	20000000
700097234	158216035	2.02062004323	86	35787	20000000
700097631	158155345	3.16101965465	104	22085	20000000
700098359	158458797	2.65114891043	85	21544	20000000
700098867	650853796	2.68296060122	86	31561	20000000
700098932	158236265	2.18258065841	80	27985	20000000
700099002	158114885	2.40095055573	96	31785	20000000
700099059	158276726	3.36999242446	120	20956	20000000
700099590	158438567	1.0116548607	74	24778	20000000
700099746	158964549	2.00821491338	52	35402	20000000
700120572	763721271	1.97622938091	60	32965	20000000
700161742	508703490	2.49880630607	72	26123	20000000
700161856	765195863	3.0842957386	102	21413	20000000
700161872	103092734	2.42516378432	87	32876	20000000
700161945	764649650	2.99867208393	87	20366	20000000
700163030	763719065	0.909314336544	61	28408	20000000
700163181	765377934	3.0297891276	156	27043	20000000
700163238	765317243	2.22748601216	102	23145	20000000
700163458	765661155	2.3861274081	98	19101	20000000
700163521	765519544	2.57415124151	114	27763	20000000
700163628	823052294	2.27749003941	106	29244	20000000
700163699	765337473	2.85832917951	81	22890	20000000
700021261	763456073	2.64450674156	119	19881	20000000
700117303	115629832	2.47985343427	98	34282	20000000
700122042	206906765	1.6835548044	92	28817	20000000
700122408	838529239	2.62726591368	91	28322	20000000
700122860	160967330	2.96061201197	85	23020	20000000
700123700	650853796	2.34883434263	69	28595	20000000
700161219	646253328	3.3510009556	131	24319	20000000
700161429	195044680	2.51139653509	103	32768	20000000
700163296	316129862	3.36344365723	157	25618	20000000
700165530	646253328	2.91993771968	84	27931	20000000
700166262	866653606	2.42625887354	85	30993	20000000
700166643	257905678	3.04415038395	118	28684	20000000
700167107	763721271	2.6720695066	93	31643	20000000
700172069	162469177	2.25222434459	64	15433	10112060
700172870	646253328	3.101799155	112	25254	20000000
700123562	160502038	3.24853066469	152	32310	20000000
700123827	809635352	2.51660273947	110	18989	20000000
700123959	246515023	1.62596378122	119	13319	20000000
700163772	706846339	2.95048800158	106	27372	20000000
700163811	884419868	2.73985287891	116	26855	20000000
700163868	178713055	2.93299052744	105	24785	20000000
700163981	338793263	1.70235262611	100	30140	20000000
700164050	234447334	1.54912578262	82	24660	20000000
700164159	765074482	3.40596103542	131	32767	20000000
700164192	857980665	2.95457710066	101	29543	20000000
700164249	739574095	1.94189418979	100	22223	20000000
700164339	370027359	1.97888960947	119	34313	20000000
700164354	355657046	2.10394888855	95	32058	20000000
700164417	305070461	2.99521801896	127	28576	20000000
700164450	517810313	1.25459828444	107	37307	20000000
700164611	765034022	2.54142620545	105	25612	20000000
700164641	525622796	2.67860681149	121	25711	20000000
700164686	765135172	2.56976881429	79	27074	20000000
700164735	208027353	2.80752584822	188	28792	20000000
700164792	953045535	3.04892119602	135	29834	20000000
700164870	550534656	2.28765615484	76	31434	20000000
700165052	764366428	2.59124671687	79	25509	20000000
700165148	823052294	2.54192956003	95	28573	20000000
700165167	765256553	3.08376301178	133	23483	20000000
700165263	764508039	2.88985627362	116	33583	20000000
700165407	682102541	3.22645609769	120	19285	20000000
700165455	764062976	3.31050779209	121	23246	20000000
700165634	765155402	2.90892923722	102	24832	20000000
700165665	275382046	2.4652678909	21	46	82380
700165778	765216093	3.09554898747	189	31149	20000000
700165809	765701615	3.18264292295	131	16611	20000000
700165875	675950834	2.74348404466	116	34986	20000000
700165986	884797910	2.40745075963	165	34276	20000000
700166025	159733294	3.03307095127	92	9328	10726498
700166586	160845950	1.43316256199	95	29532	20000000
700166775	160582958	2.56135551173	109	32670	20000000
700171066	863126187	2.97019935294	156	30856	20000000
700171114	682102541	2.84941369495	114	18049	20000000
700171115	663835652	3.01085460475	106	21662	20000000
700171190	765013792	2.47888624319	106	33913	20000000
700171324	275382046	1.52609425565	69	30270	20000000
700171341	868454789	2.6384699038	98	8524	20000000
700171390	147406386	3.7567107832	267	20396	17997920
700171441	765377934	2.66849757558	85	25648	20000000
700171573	370027359	2.11400050337	91	30847	20000000
700171574	553359145	1.67084880804	67	24765	20000000
700171648	765519544	2.89049231737	95	26820	20000000
700171679	938202701	1.94982488257	103	30323	20000000
700171727	765337473	2.6839778146	92	28653	20000000
700171859	809362576	3.39787499101	157	16449	20000000
700171916	765640925	2.50669363274	97	21172	20000000
700171955	561079058	1.94115841466	94	23168	20000000
700172068	508703490	2.40915892595	77	21256	20000000
700172221	737052003	1.89808574425	94	25073	20000000
700172279	256789458	2.53864602502	121	24852	20000000
700172393	516889361	3.00463233994	144	20098	20000000
700172461	763901136	3.22428561452	98	20236	20000000
700172498	765256553	2.7975627798	152	22833	20000000
700172555	103092734	2.80662306253	139	31272	20000000
700172621	643185023	2.59301509214	122	32724	20000000
700172726	857980665	3.01474437353	117	26786	20000000
700172813	875002022	2.83297837244	140	24683	20000000
700173023	765276783	3.19596600091	125	25883	20000000
700173086	305070461	3.18954027879	129	25679	20000000
700173119	884419868	2.81086335533	120	29124	20000000
700173176	658594300	2.82923335676	193	32308	20000000
700173272	355657046	1.93968513291	119	28818	20000000
700173377	525622796	2.86014720292	120	29873	20000000
700173483	115629832	2.94779044679	149	32046	20000000
700173546	901775393	2.58733226772	116	19400	20000000
700173627	612472597	2.92575618679	226	28784	20000000
700175086	764791260	2.98610735712	188	24363	20000000
700175181	764851951	2.8787448906	139	23854	20000000
700175331	764953101	2.93722479535	115	32456	20000000
700173686	886389417	3.4840805592	121	19560	15120806
700122765	536137189	2.27131527629	85	31646	20000000
700124561	797461496	2.85420473035	103	29158	20000000
700167825	797461496	2.73725355481	108	29112	20000000
700124429	788731474	2.52862124159	95	25099	20000000
700121919	241812656	2.58961023884	80	20201	20000000
700021123	763395383	2.69344274684	110	30941	20000000
700164891	932979671	1.80504059788	67	28949	20000000
700117239	932979671	1.91636155488	81	29478	20000000
700117537	486505039	1.78183915658	121	40912	20000000
700165311	115629832	2.95176955516	115	27354	20000000
700161967	535376874	3.16289776766	128	29651	20000000
700161743	188816475	2.15153174999	48	31051	20000000
700172132	486505039	1.84026089504	97	38160	20000000
700117395	596625983	2.15891075249	79	31323	20000000
700163982	596625983	2.49999061743	94	28051	20000000
700172927	596625983	2.46227639334	105	24569	20000000
700161533	725019804	2.61710508135	109	32856	20000000
700173320	316129862	2.67143210096	114	30146	20000000
700165224	182518224	2.66736570641	99	32981	20000000
700172346	366487741	2.8749448149	135	29315	20000000
700097973	970836795	3.14163895527	112	18158	20000000
700167759	441369442	2.72336005824	91	35100	20000000
700163419	886389417	2.40241721401	121	35554	20000000
700161342	366487741	2.67735600263	116	33376	20000000
700166862	160987560	1.53753067446	68	34976	20000000
700123135	161068481	2.1072949231	79	33009	20000000
700097482	161473083	2.6730820008	103	26077	20000000
700098267	158742018	3.03151187139	124	27711	20000000
700097291	158013734	2.96478947132	97	26301	20000000
