sample_tp1,sample_tp2,subject,tp1,tp2,species,delta_polymorphism,polymorphism_tp1,polymorphism_tp2,alpha_div_tp1,alpha_div_tp2,alpha_div_rare_tp1,alpha_div_rare_tp2,richness_tp1,richness_tp2,richness_rare_tp1,richness_rare_tp2
700163419,700173686,886389417,1,2,Ruminococcus_bromii_62047,-0.00016435856561077482,0.00031440077705274685,0.00015004221144197203,2.39294937445,3.4838243015,2.40241721401,3.4840805592,151,121,121,121
700163419,700173686,886389417,1,2,Bacteroides_massiliensis_44749,8.374511036767169e-07,0.0001505697959887566,0.00015140724709243332,2.39294937445,3.4838243015,2.40241721401,3.4840805592,151,121,121,121
700163419,700173686,886389417,1,2,Alistipes_sp_60764,-0.00015685117989574035,0.00041084492670503964,0.0002539937468092993,2.39294937445,3.4838243015,2.40241721401,3.4840805592,151,121,121,121
700163419,700173686,886389417,1,2,Alistipes_putredinis_61533,-0.0002043350489669641,0.012539741993863974,0.01233540694489701,2.39294937445,3.4838243015,2.40241721401,3.4840805592,151,121,121,121
700163419,700173686,886389417,1,2,Faecalibacterium_cf_62236,-0.0016075062573409058,0.004030306796604031,0.002422800539263125,2.39294937445,3.4838243015,2.40241721401,3.4840805592,151,121,121,121
700163419,700173686,886389417,1,2,Bacteroides_ovatus_58035,0.0008074834827923034,4.5840481024603086e-05,0.0008533239638169065,2.39294937445,3.4838243015,2.40241721401,3.4840805592,151,121,121,121
700163419,700173686,886389417,1,2,Alistipes_shahii_62199,0.001013882229323599,0.009122719666320524,0.010136601895644123,2.39294937445,3.4838243015,2.40241721401,3.4840805592,151,121,121,121
700163419,700173686,886389417,1,2,Bacteroides_xylanisolvens_57185,-0.000935952629918177,0.024975313098413457,0.02403936046849528,2.39294937445,3.4838243015,2.40241721401,3.4840805592,151,121,121,121
700163419,700173686,886389417,1,2,Bacteroides_cellulosilyticus_58046,0.002279311027753326,0.00012638159620358003,0.002405692623956906,2.39294937445,3.4838243015,2.40241721401,3.4840805592,151,121,121,121
700163419,700173686,886389417,1,2,Bacteroides_uniformis_57318,4.557940526797748e-05,3.68304446492116e-05,8.240984991718908e-05,2.39294937445,3.4838243015,2.40241721401,3.4840805592,151,121,121,121
700163419,700173686,886389417,1,2,Eubacterium_rectale_56927,-0.01961456806005561,0.029822740693065043,0.010208172633009435,2.39294937445,3.4838243015,2.40241721401,3.4840805592,151,121,121,121
700163419,700173686,886389417,1,2,Bacteroides_vulgatus_57955,0.00020032317674504793,0.006884954215618589,0.007085277392363637,2.39294937445,3.4838243015,2.40241721401,3.4840805592,151,121,121,121
700021261,700105685,763456073,1,2,Phascolarctobacterium_sp_59817,0.00034432851980960945,0.0001649831516217218,0.0005093116714313312,2.63939496099,2.75753534991,2.64450674156,2.75063861511,132,145,119,111
700021261,700105685,763456073,1,2,Alistipes_finegoldii_56071,2.569605113164256e-06,4.674172613038533e-05,4.931133124354959e-05,2.63939496099,2.75753534991,2.64450674156,2.75063861511,132,145,119,111
700021261,700105685,763456073,1,2,Alistipes_putredinis_61533,-6.65121739419e-09,7.45384778643e-06,7.44719656904e-06,2.63939496099,2.75753534991,2.64450674156,2.75063861511,132,145,119,111
700021261,700105685,763456073,1,2,Alistipes_shahii_62199,1.5673631871398856e-05,0.00034557766131099307,0.0003612512931823919,2.63939496099,2.75753534991,2.64450674156,2.75063861511,132,145,119,111
700021261,700105685,763456073,1,2,Eubacterium_siraeum_57634,7.737650170705168e-05,0.000135279966933572,0.00021265646864062368,2.63939496099,2.75753534991,2.64450674156,2.75063861511,132,145,119,111
700021261,700105685,763456073,1,2,Bacteroides_cellulosilyticus_58046,-8.627930127756071e-05,0.00023469209852409103,0.00014841279724653032,2.63939496099,2.75753534991,2.64450674156,2.75063861511,132,145,119,111
700021261,700105685,763456073,1,2,Bacteroides_uniformis_57318,1.4547167878544065e-05,3.0059949631517364e-05,4.460711751006143e-05,2.63939496099,2.75753534991,2.64450674156,2.75063861511,132,145,119,111
700021261,700105685,763456073,1,2,Bacteroides_vulgatus_57955,0.0042785502149118165,0.001443707752118988,0.005722257967030804,2.63939496099,2.75753534991,2.64450674156,2.75063861511,132,145,119,111
700105685,700113954,763456073,2,3,Alistipes_finegoldii_56071,0.00022986795198098143,4.931133124354959e-05,0.000279179283224531,2.75753534991,2.99744178541,2.75063861511,2.99717169156,145,163,111,162
700105685,700113954,763456073,2,3,Alistipes_putredinis_61533,7.337001926511008e-08,7.44719656904e-06,7.520566588302689e-06,2.75753534991,2.99744178541,2.75063861511,2.99717169156,145,163,111,162
700023788,700114653,763901136,1,2,Dialister_invisus_61905,9.88423153189884e-06,0.0001305094588749006,0.00014039369040679943,3.05479531332,2.72180447723,3.04743533844,2.71546705902,141,123,92,90
700023788,700114653,763901136,1,2,Paraprevotella_clara_33712,0.00042382045016258027,3.653008300253161e-05,0.0004603505331651119,3.05479531332,2.72180447723,3.04743533844,2.71546705902,141,123,92,90
700023788,700114653,763901136,1,2,Parabacteroides_merdae_56972,-0.0002505509402196005,0.00029484182402932254,4.4290883809722034e-05,3.05479531332,2.72180447723,3.04743533844,2.71546705902,141,123,92,90
700023788,700114653,763901136,1,2,Eubacterium_eligens_61678,-0.0005629251784509091,0.0009625329863139022,0.000399607807862993,3.05479531332,2.72180447723,3.04743533844,2.71546705902,141,123,92,90
700023788,700114653,763901136,1,2,Ruminococcus_bromii_62047,0.00045277832780671226,4.796579973933395e-05,0.0005007441275460462,3.05479531332,2.72180447723,3.04743533844,2.71546705902,141,123,92,90
