sample_tp1,sample_tp2,subject,tp1,tp2,species,num_gene_gains,num_gene_losses,alpha_div_tp1,alpha_div_tp2,alpha_div_rare_tp1,alpha_div_rare_tp2,richness_tp1,richness_tp2,richness_rare_tp1,richness_rare_tp2,polymorphism_tp1,polymorphism_tp2
700106065,700172221,737052003,1,2,Faecalibacterium_prausnitzii_62201,1,0,2.21172764059,1.9120874778,2.21839008201,1.89808574425,181,164,125,94,0.0008974294614951795,0.0008608758816121334
700106065,700172221,737052003,1,2,Roseburia_intestinalis_56239,0,0,2.21172764059,1.9120874778,2.21839008201,1.89808574425,181,164,125,94,0.010556451007565096,0.005631776376690084
700106065,700172221,737052003,1,2,Bacteroides_ovatus_58035,0,0,2.21172764059,1.9120874778,2.21839008201,1.89808574425,181,164,125,94,1.4480188310805472e-05,4.574998290130603e-05
700106065,700172221,737052003,1,2,Sutterella_wadsworthensis_62218,0,1,2.21172764059,1.9120874778,2.21839008201,1.89808574425,181,164,125,94,9.693858182435336e-06,2.5642833492783214e-05
700106065,700172221,737052003,1,2,Bacteroides_uniformis_57318,0,0,2.21172764059,1.9120874778,2.21839008201,1.89808574425,181,164,125,94,1.235454826166776e-05,1.8903641236223024e-05
700106065,700172221,737052003,1,2,Eubacterium_rectale_56927,0,0,2.21172764059,1.9120874778,2.21839008201,1.89808574425,181,164,125,94,0.03387536836820133,0.035487024634062364
700037916,700163521,765519544,1,2,Alistipes_shahii_62199,0,0,3.28484176533,2.57564322494,3.28625749025,2.57415124151,145,142,120,114,0.008900604674719679,0.01146953249350148
700037916,700163521,765519544,1,2,Bacteroides_vulgatus_57955,0,1,3.28484176533,2.57564322494,3.28625749025,2.57415124151,145,142,120,114,0.006939493217580053,0.007330217404142586
700037916,700163521,765519544,1,2,Butyrivibrio_crossotus_61674,0,1,3.28484176533,2.57564322494,3.28625749025,2.57415124151,145,142,120,114,6.606753077279745e-05,6.163824079010015e-05
700037916,700163521,765519544,1,2,Bacteroides_uniformis_57318,0,0,3.28484176533,2.57564322494,3.28625749025,2.57415124151,145,142,120,114,3.7607210984222234e-05,3.0836900033688455e-05
700037916,700163521,765519544,1,2,Alistipes_putredinis_61533,0,0,3.28484176533,2.57564322494,3.28625749025,2.57415124151,145,142,120,114,0.001021995217510923,0.0011514448793607138
700024349,700113114,764467579,1,2,Bacteroides_ovatus_58035,0,0,2.88761658267,2.99216949076,2.89247241169,3.00062415442,149,184,126,156,0.019020976669226773,0.023307297848097687
700024349,700113114,764467579,1,2,Bacteroides_stercoris_56735,0,0,2.88761658267,2.99216949076,2.89247241169,3.00062415442,149,184,126,156,3.8468624219742714e-05,3.546703677355797e-05
700024349,700113114,764467579,1,2,Alistipes_putredinis_61533,0,0,2.88761658267,2.99216949076,2.89247241169,3.00062415442,149,184,126,156,0.0005899890301791998,0.0006215481514070117
700024349,700113114,764467579,1,2,Bacteroides_uniformis_57318,0,0,2.88761658267,2.99216949076,2.89247241169,3.00062415442,149,184,126,156,0.015279604071870536,0.014809731676050857
700024349,700113114,764467579,1,2,Bacteroides_vulgatus_57955,0,0,2.88761658267,2.99216949076,2.89247241169,3.00062415442,149,184,126,156,1.4598761480654804e-05,2.1797897320927897e-05
700108530,700166775,160582958,2,3,Paraprevotella_clara_33712,0,0,2.67016826208,2.55938066034,2.66118346884,2.56135551173,137,145,101,109,5.9488404614257514e-05,7.06569053381093e-05
700108530,700166775,160582958,2,3,Parabacteroides_merdae_56972,0,0,2.67016826208,2.55938066034,2.66118346884,2.56135551173,137,145,101,109,0.020361444941511507,0.003676172256546581
700108530,700166775,160582958,2,3,Alistipes_putredinis_61533,0,0,2.67016826208,2.55938066034,2.66118346884,2.56135551173,137,145,101,109,0.0050705215887516366,0.0029815662914766386
700108530,700166775,160582958,2,3,Bacteroides_thetaiotaomicron_56941,0,0,2.67016826208,2.55938066034,2.66118346884,2.56135551173,137,145,101,109,0.00012439500958362425,0.012934928101570639
700108530,700166775,160582958,2,3,Bacteroides_ovatus_58035,0,0,2.67016826208,2.55938066034,2.66118346884,2.56135551173,137,145,101,109,0.00018055910667642364,3.086891757365444e-05
700108530,700166775,160582958,2,3,Alistipes_shahii_62199,0,0,2.67016826208,2.55938066034,2.66118346884,2.56135551173,137,145,101,109,9.952551192302775e-05,5.8508502533106534e-05
700108530,700166775,160582958,2,3,Bacteroides_cellulosilyticus_58046,0,0,2.67016826208,2.55938066034,2.66118346884,2.56135551173,137,145,101,109,5.015979635798063e-05,8.67638725550776e-05
700108530,700166775,160582958,2,3,Bacteroides_uniformis_57318,0,0,2.67016826208,2.55938066034,2.66118346884,2.56135551173,137,145,101,109,0.009974596585814108,0.0004125966949107344
700108530,700166775,160582958,2,3,Parabacteroides_distasonis_56985,0,0,2.67016826208,2.55938066034,2.66118346884,2.56135551173,137,145,101,109,0.00013191992901323655,0.0001237406008366983
700108530,700166775,160582958,2,3,Bacteroides_vulgatus_57955,0,0,2.67016826208,2.55938066034,2.66118346884,2.56135551173,137,145,101,109,0.00647217178659511,0.008694023132107997
700023337,700037501,763961826,1,2,Parabacteroides_merdae_56972,0,0,2.68516693666,2.73610500069,2.69683837569,2.74386007998,152,160,120,105,0.014228529039035803,0.017173783527464855
700023337,700037501,763961826,1,2,Bacteroides_eggerthii_54457,0,0,2.68516693666,2.73610500069,2.69683837569,2.74386007998,152,160,120,105,9.685169643800777e-05,9.110152141432177e-05
